country,year,iso_code,population,energy_per_capita,fossil_share_energy,renewables_share_energy
Australia,2015,AUS,23947997,66879.320,94.045,5.955
Australia,2016,AUS,24329963,66045.680,93.215,6.785
Australia,2017,AUS,24731044,64778.020,93.627,6.373
Australia,2018,AUS,25119700,64726.418,92.152,7.848
Australia,2019,AUS,25482714,65938.531,91.593,8.407
Australia,2020,AUS,25743787,61584.258,89.708,10.292
Australia,2021,AUS,25956417,61230.445,87.717,12.283
Brazil,2015,BRA,201675534,17530.328,60.217,38.708
Brazil,2016,BRA,203218108,16983.990,57.285,41.536
Brazil,2017,BRA,204703440,16988.619,57.551,41.294
Brazil,2018,BRA,206107265,16915.357,54.731,44.126
Brazil,2019,BRA,207455459,17194.145,53.678,45.178
Brazil,2020,BRA,208660845,16401.875,51.847,47.116
Brazil,2021,BRA,209550291,17089.926,55.294,43.673
Canada,2015,CAN,35962236,111824.336,65.785,27.733
Canada,2016,CAN,36353345,109289.445,65.047,28.460
Canada,2017,CAN,36808498,109394.164,64.986,28.650
Canada,2018,CAN,37294996,109464.797,66.130,27.664
Canada,2019,CAN,37782934,107455.625,66.353,27.407
Canada,2020,CAN,38171903,100465.109,64.143,29.457
Canada,2021,CAN,38454058,100431.008,64.911,29.113
Germany,2015,DEU,82077546,46064.484,79.486,14.318
Germany,2016,DEU,82760102,46416.703,80.318,14.101
Germany,2017,DEU,83104010,47525.457,79.739,15.388
Germany,2018,DEU,83368507,46125.492,78.776,16.263
Germany,2019,DEU,83559184,44922.695,77.188,17.811
Germany,2020,DEU,83628711,41838.684,75.390,20.017
Germany,2021,DEU,83697080,42994.242,77.140,18.082
India,2015,IND,1328024494,5943.030,92.410,6.357
India,2016,IND,1343944296,6148.213,92.473,6.370
India,2017,IND,1359657398,6304.287,92.111,6.793
India,2018,IND,1374659067,6593.169,91.616,7.307
India,2019,IND,1389030307,6682.068,90.681,8.108
India,2020,IND,1402617694,6268.437,89.847,8.893
India,2021,IND,1414203896,6749.358,90.204,8.657
Japan,2015,JPN,127275868,42138.867,92.100,7.685
Japan,2016,JPN,127159950,41646.914,91.565,7.593
Japan,2017,JPN,127064686,42137.562,90.608,8.029
Japan,2018,JPN,126913432,41899.980,89.042,8.650
Japan,2019,JPN,126699421,41086.219,87.991,8.871
Japan,2020,JPN,126304533,38203.219,87.329,10.457
Japan,2021,JPN,125679342,40020.164,86.170,10.814
Kenya,2015,KEN,47088528,1671.833,,
Kenya,2016,KEN,48139683,1743.277,,
Kenya,2017,KEN,49197757,1727.493,,
Kenya,2018,KEN,50207109,1644.680,,
Kenya,2019,KEN,51202829,1678.614,,
Kenya,2020,KEN,52217327,1565.243,,
Kenya,2021,KEN,53219167,1634.881,,
Nigeria,2015,NGA,190671883,2458.865,,
Nigeria,2016,NGA,195443698,2431.617,,
Nigeria,2017,NGA,200254580,2297.201,,
Nigeria,2018,NGA,204938752,2398.611,,
Nigeria,2019,NGA,209485637,2457.388,,
Nigeria,2020,NGA,213996185,2221.549,,
Nigeria,2021,NGA,218529286,2345.254,,
United States,2015,USA,326126496,78949.203,84.492,7.219
United States,2016,USA,329179423,78155.102,83.681,7.993
United States,2017,USA,332204657,77729.664,82.997,8.755
United States,2018,USA,335056492,79893.953,83.423,8.640
United States,2019,USA,337790069,78683.469,83.053,8.967
United States,2020,USA,339436156,72562.672,81.489,10.123
United States,2021,USA,340161438,76307.383,82.050,10.116
Vietnam,2015,VNM,92823254,8731.432,82.203,17.797
Vietnam,2016,VNM,94000115,9326.302,81.347,18.653
Vietnam,2017,VNM,95176978,9981.674,76.883,23.117
Vietnam,2018,VNM,96237319,11210.952,80.345,19.655
Vietnam,2019,VNM,97173778,12433.123,85.086,14.914
Vietnam,2020,VNM,98079196,12527.920,82.724,17.276
Vietnam,2021,VNM,98935101,12365.529,77.840,22.160
