unique_key,created_date,agency,complaint_type,descriptor,borough,status
47002094,2020-07-27,NYPD,Homeless Street Condition,N/A,MANHATTAN,Closed
59484263,2023-11-18,DEP,Water System,Dirty Water (WE),STATEN ISLAND,Closed
59484344,2023-11-18,NYPD,Illegal Parking,Blocked Sidewalk,STATEN ISLAND,Closed
69530202,2026-06-29,NYPD,Noise - Residential,Loud Music/Party,QUEENS,Closed
69530216,2026-06-29,NYPD,Noise - Residential,Loud Talking,BRONX,Closed
46996754,2020-07-27,DSNY,Request Large Bulky Item Collection,Request Large Bulky Item Collection,BROOKLYN,Closed
47001118,2020-07-27,DOB,General Construction/Plumbing,Working Contrary To Stop Work Order,BROOKLYN,Closed
47002991,2020-07-27,HPD,DOOR/WINDOW,DOOR,MANHATTAN,Closed
47003977,2020-07-27,DCA,Consumer Complaint,Car Dealer - Used,BROOKLYN,Closed
47005213,2020-07-27,DHS,Homeless Person Assistance,N/A,MANHATTAN,Closed
59490694,2023-11-19,HPD,HEAT/HOT WATER,APARTMENT ONLY,STATEN ISLAND,Closed
69530206,2026-06-30,NYPD,Noise - Residential,Loud Music/Party,QUEENS,Closed
69530208,2026-06-29,NYPD,Noise - Residential,Loud Music/Party,QUEENS,Closed
69530218,2026-06-30,NYPD,Noise - Residential,Loud Talking,BRONX,Closed
69530253,2026-06-29,NYPD,Noise - Street/Sidewalk,Loud Music/Party,BRONX,Closed
